gene	logfoldchanges	scores	pvals	pvals_adj	pct_in_group
CD74	0.9780115	49.676334	0.0	0.0	
HLA-DRA	0.96053797	43.601788	0.0	0.0	
HLA-DPB1	0.9442901	40.899696	0.0	0.0	
CD37	0.6895033	35.671154	1.1075152769102659e-278	1.6353693636109974e-275	
CD79A	0.93325645	34.426395	1.0158247670446422e-259	1.2856955468228354e-256	
HLA-DPA1	0.9877198	33.085926	4.736857300275231e-240	5.24587209100064e-237	
HLA-DRB1	0.8215182	30.71565	3.51811290213087e-207	2.8335734189617092e-204	
HLA-DQB1	0.8459317	27.000761	1.4478038003468386e-160	7.545328864591886e-158	
HLA-DQA1	0.8994083	25.884628	9.921419865939511e-148	4.395023643613438e-145	
MS4A1	1.0081294	25.100246	4.942712105709451e-139	1.931946250847816e-136	
MT-ND4L	0.35441387	24.7394	4.031800644046853e-135	1.4679620454537165e-132	
MT-ND3	0.29815188	21.614326	1.317079138547931e-103	3.7641555294048877e-101	
MTRNR2L12	0.68436503	21.197374	1.009759168720958e-99	2.7956655151494107e-97	
MT-CO2	0.26724398	20.606281	2.410547774991313e-94	6.160572049182126e-92	
HLA-DMA	0.6942388	18.706486	4.383458316566492e-78	8.694622283285134e-76	
MT-CO1	0.36012244	18.652637	1.2019730607630976e-77	2.3490619104428215e-75	
HLA-DRB5	0.830117	18.184336	6.868168767470535e-74	1.2855567441591503e-71	
LINC00926	0.7860178	17.900146	1.1761359565525464e-71	2.11219713440609e-69	
MT-ATP8	0.35723174	17.70579	3.7833264122836325e-70	6.487550497553979e-68	
CD83	0.7116953	17.228352	1.627206176348545e-66	2.5440889977157632e-64	
RPL18A	0.13260223	16.82552	1.5866472251821958e-63	2.317115197698768e-61	
MT-CO3	0.19850104	16.464134	6.64054738589427e-61	9.192661925504364e-59	
LAPTM5	0.35505614	15.988506	1.5367152862996745e-57	2.0196234062890547e-55	
CD52	0.36135817	15.093157	1.796369820750659e-51	1.972963366352552e-49	
MT-ATP6	0.21713479	14.736518	3.756599161219728e-49	3.8850836228038584e-47	
SYNGR2	0.42475805	14.735342	3.822588163967951e-49	3.9380066205466736e-47	
RPS23	0.08676892	14.634453	1.6933308511272703e-48	1.6983788940419514e-46	
RPL8	0.115248084	14.514311	9.834078342627622e-48	9.574357812040277e-46	
RPS11	0.16313976	14.365811	8.480814838202764e-47	8.050413485163974e-45	
IGHM	0.71762234	13.676438	1.4040302341979368e-42	1.1517814689736717e-40	
BANK1	0.8429583	13.527097	1.0821369694171507e-41	8.637272825867401e-40	
CD79B	0.78981775	13.392845	6.658061828437093e-41	5.2356398029002804e-39	
NCF1	0.63109463	12.452919	1.3482246485098332e-35	8.572838022187287e-34	
MT-ND5	0.20940654	12.393779	2.824143316745826e-35	1.7703515381081913e-33	
MEF2C	0.86077595	12.349543	4.898899920270608e-35	3.0493644257815576e-33	
