leiden_scvi	score_ABC_like_Bcell	score_Antigen_Presentation	score_ISG_TypeI_IFN	score_NFkB_Immediate_Early
0	-0.13152704808055954	-0.30596037731894965	-0.17890269287690821	-0.14673538911370437
1	0.034329208873104616	1.1362993669085224	0.4227201187023536	-0.020946392160480932
10	0.05770521882448795	0.782208341842287	0.6815271351325303	-0.04696744306861701
11	-0.1358512383168351	-0.29665714892886935	-0.17572031790173545	-0.156999588817676
12	0.003553577630819104	0.6251370685441153	0.6607720676047999	-0.09547266638606053
13	0.06400083891748298	1.5674737803077186	0.7826536009269301	-0.037329815806060616
14	-0.12577455340869695	-0.31496882219572325	-0.17827431021963272	-0.15318043339934562
15	-0.05461795957036632	1.0972572847061297	0.20943918759470978	-0.052580422916673954
16	-0.07756196044807608	0.8722153979904798	0.23621918288371416	0.007909073475313678
2	-0.1596233645081387	-0.3424490990299906	-0.20065732637346276	-0.1775285295703461
3	0.10431449117435616	1.6606978048041154	0.5636797732563765	0.1767561526232043
4	0.019419092782252324	1.2236753772047981	0.2866042948933775	0.09545211198691399
5	0.013017594560094757	0.6539103647956988	0.44974066821477426	-0.08975660437552523
6	-0.02308254575148424	1.0146939282645893	0.19254143849106994	-0.03507968737045288
7	-0.1654017007045672	-0.3453550073499473	-0.21384346709853563	-0.20586884187559526
8	-0.018690434854672543	1.4225335992274952	0.4694424790646317	0.04763155202941741
9	-0.1507667621947555	-0.34231027402375874	-0.1974949007321001	-0.17284053022338422
