rank	score	pert_desc	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	drugchem_id
1	0.1037	T542500	BRD-A59985574	VCAP	10.0	um	24.0	h	CPC012_VCAP_24H:BRD-A59985574:10.0	5515	
2	0.0889	Narciclasine	BRD-K06792661	HA1E	10.0	um	24.0	h	CPC006_HA1E_24H:BRD-K06792661:10.0	72376	
3	0.0741	Dorsomorphin dihydrochloride	BRD-K54233340	VCAP	10.0	um	24.0	h	CPC004_VCAP_24H:BRD-K54233340:10.0	11524144	
4	0.0741	-666	BRD-K52075040	A375	44.4	um	24.0	h	CPC006_A375_24H:BRD-K52075040:44.4	5282054	
5	0.0667	curcubitacin I	BRD-A28105619	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-A28105619:10.0	73707401	
6	0.0667	Narciclasine	BRD-K06792661	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K06792661:10.0	72376	
7	0.0667	dactinomycin	BRD-K70578146	VCAP	10.0	um	24.0	h	CPC010_VCAP_24H:BRD-K70578146:10.0	457193	
8	0.0667	wortmannin	BRD-A75409952	VCAP	10.0	um	24.0	h	CPC014_VCAP_24H:BRD-A75409952:10.0	5691	
9	0.0593	calyculin A	BRD-A47513740	HA1E	10.0	um	24.0	h	CPC005_HA1E_24H:BRD-A47513740:10.0	16760037	
10	0.0593	PK-11195	BRD-A41451487	A375	160.0	um	24.0	h	CPC006_A375_24H:BRD-A41451487:160.0	1345	
11	0.0593	15-Deoxy-?12,14-prostaglandin J2	BRD-K61033289	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K61033289:10.0	12068863	
12	0.0593	MLN4924	BRD-K67844266	A375	11.1	um	24.0	h	CPC006_A375_24H:BRD-K67844266:11.1	16720766	
13	0.0593	CAY10618	BRD-K83289131	MDST8	10.0	um	6.0	h	CPC006_MDST8_6H:BRD-K83289131:10.0	44819697	
14	0.0593	T5212475	BRD-K62459624	VCAP	10.0	um	24.0	h	CPC012_VCAP_24H:BRD-K62459624:10.0	2416356	
15	0.0593	S1230	BRD-K87909389	VCAP	10.0	um	24.0	h	CPC013_VCAP_24H:BRD-K87909389:10.0	5287969	
16	0.0519	SB 269970 hydrochloride	BRD-K24201553	HA1E	10.0	um	24.0	h	CPC001_HA1E_24H:BRD-K24201553:10.0	11957684	
17	0.0519	vorinostat	BRD-K81418486	HA1E	10.0	um	24.0	h	CPC001_HA1E_24H:BRD-K81418486:10.0	5311	
18	0.0519	Anisomycin	BRD-K91370081	HA1E	10.0	um	24.0	h	CPC002_HA1E_24H:BRD-K91370081:10.0	253602	
19	0.0519	Dorsomorphin dihydrochloride	BRD-K54233340	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-K54233340:10.0	11524144	
20	0.0519	TENIPOSIDE	BRD-A35588707	HCC515	10.0	um	24.0	h	CPC004_HCC515_24H:BRD-A35588707:10.0	6708778	
21	0.0519	QUINACRINE HYDROCHLORIDE	BRD-A45889380	HCC515	10.0	um	6.0	h	CPC005_HCC515_6H:BRD-A45889380:10.0	23581813	
22	0.0519	Parbendazole	BRD-K02407574	A375	0.31	um	24.0	h	CPC006_A375_24H:BRD-K02407574:0.31	26596	
23	0.0519	17757146	BRD-K05402890	A375	0.35	um	24.0	h	CPC006_A375_24H:BRD-K05402890:0.35	17757146	
24	0.0519	mw-A1-12	BRD-K78867378	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K78867378:10.0	701939	
25	0.0519	Parthenolide	BRD-K98548675	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K98548675:10.0	6473881	
26	0.0519	89671	BRD-A31107743	HA1E	0.09	um	24.0	h	CPC006_HA1E_24H:BRD-A31107743:0.09	5353446	
27	0.0519	-666	BRD-K05649647	HA1E	20.0	um	24.0	h	CPC006_HA1E_24H:BRD-K05649647:20.0	1242560	
28	0.0519	Narciclasine	BRD-K06792661	HT29	10.0	um	24.0	h	CPC006_HT29_24H:BRD-K06792661:10.0	72376	
29	0.0519	-666	BRD-K09635314	NOMO1	80.0	um	6.0	h	CPC006_NOMO1_6H:BRD-K09635314:80.0	761523	
30	0.0519	Narciclasine	BRD-K06792661	SNGM	10.0	um	6.0	h	CPC006_SNGM_6H:BRD-K06792661:10.0	72376	
31	0.0519	-666	BRD-K05153001	A375	10.0	um	24.0	h	CPC007_A375_24H:BRD-K05153001:10.0	665013	
32	0.0519	NCGC00188700-01	BRD-K75315865	A375	10.0	um	24.0	h	CPC007_A375_24H:BRD-K75315865:10.0	44825304	
33	0.0519	EI-156	BRD-K70549064	HA1E	10.0	um	6.0	h	CPC014_HA1E_6H:BRD-K70549064:10.0	6610353	
34	0.0519	-666	BRD-K95676198	A549	10.0	um	6.0	h	CPC016_A549_6H:BRD-K95676198:10.0	3799	
35	0.0519	mitoxantrone	BRD-K21680192	HT29	10.0	um	6.0	h	CPC020_HT29_6H:BRD-K21680192:10.0	5458171	
36	0.0519	(+)-JQ1	BRD-K54606188	HT29	0.37	um	24	h	LJP008_HT29_24H:BRD-K54606188:0.37		
